Company,Contact,Email,Website,Country,WhatsApp,Category,Source,Status,Note,Level,Owner,NextFollowup,History
Turnstile MPP122,,"fancybox@3.5.7, info@preiser-technik.de",https://www.preiser-technik.de/personensperren/drehsperren/mpp122,Germany,"+49 (0) 6181 70907 - 0, +49 (0) 6181 70907 - 77, 06181 70907-0",ELDERLY,wlw,NEW,,C,sales,,
Tool Drive Servo Motor,,kontakt@maschinenbau-service.com,https://www.maschinenbau-service.com/produkte,,"+49 3329 615259, +49 3329 615260, 0 1.491 1.241 2.7 2.772 2.7",ELDERLY,wlw,NEW,,C,sales,,
Filterbox-SZ,,kamen@schraeder.com,https://www.schraeder.com/filterbox#filterboxsz,,"+492307973000, 004902307973000, 02307 973 000",ELDERLY,wlw,NEW,,C,sales,,
SAPRONEN OU,,info@sapronen.com,https://sapronen.com/,,"+1(900) 900 0987, 0 7.22 9 12 9 12, 139015698",ELDERLY,europages,NEW,,C,sales,,
Salsal Trading AB,,info@salsaltrading.com,https://www.salsaltrading.com,,"+46107502860, 0 0 192 512, 0 0 256 512",ELDERLY,europages,NEW,,C,sales,,
LKC Trading GmbH,,"info@lkc-trading.com, wght@300..700",https://lkc-trading.com,,"0 0 200 200, 01.06.2026, 100.7 161.6",ELDERLY,europages,NEW,,C,sales,,
FANTASIA CRAFT,,fantasia@fantasia.hr,http://lollipopfactory.eu,,"+385 99 2014660, +385992014660, 0 0 512 512",ELDERLY,europages,NEW,,C,sales,,
Stakapal Limited,,"alpinejs@2.8.2, leaflet@1.9.4, sales@stakapal.co.uk",https://www.stakapal.co.uk/,United Kingdom,"+44 1543 278 123, 01543 278 123, 01543 278123",ELDERLY,europages,NEW,,C,sales,,
CAM,,contact@cm-privatelabelcandle.com,https://cm-privatelabelcandle.com/,,"+34) 96 290 10 96, 0 0.27843137254902, 0 0.49803921568627",ELDERLY,europages,NEW,,C,sales,,
UNITERS SPA,,"alvin@arodz.net, cleanmontdoo@gmail.com, cleantec@inter.net.il, johansen@moebelministeriet.dk, nicole@luxuriousedge.com",https://uniters.com,,"155370289, 1780689920, 1780689925",ELDERLY,europages,NEW,,C,sales,,
Nioh PS Hits,,info@aktronic.de,https://aktronic.shop/Nioh/26631,,"+4925749270, 0 .5523-.4477 1-1 1, 0 .5523.4477 1 1 1",ELDERLY,wlw,NEW,,C,sales,,
ESCOMAG GmbH,,"email@henryschorradt.de, info@escomag.com",https://www.escomag.com,,"+36 70 5604232, +36705604232, +41 79 6114889",ELDERLY,europages,NEW,,C,sales,,
SOLUNIA SRL,,info@solunia.it,http://www.solunia.it/,Italy,"+39) 06 93 33 646, +393517208660, 0 0 1000 100",ELDERLY,europages,NEW,,C,sales,,
KLÖPPER-THERM GmbH,,"amatech@amatech.eu, f.sachse@kloepper-therm.de, hf.hinz@kloepper-therm.de, info@dp-wired.de, info@streamdgroup.com, intermarkindia@gmail.com, j.himmelmann@kloepper-therm.de, k.groenwoldt@kloepper-therm.de, kent.lv@pat-tech.com, m.degeler@kloepper-therm.de, m.huckestein@kloepper-therm.de, m.temiz@kloepper-therm.de, manojvm@tech9initiatives.com, miroslav.dluhy@extec.cz, n.rattey@kloepper-therm.de, nicklas.kojo@malux.fi, office@carlo.at, p.lathen@kloepper-therm.de, patson@mowemo.com, r.hertrich@kloepper-therm.de, r.lamers@kloepper-therm.de, r.toeruen@kloepper-therm.de, roman.panis@rstahl.co.za, sales@frimatecuk.com, sales@kloepper-therm.de, sales@pcae.biz, sn@fodgaard.dk, suraj@majeestech.com, t.keizers@kloepper-therm.de, t.oeztoprak@kloepper-therm.de, terhorst@electromach.nl, yves@pgr.be",http://www.kloepper-therm.de/,Germany,"+27 11 608 3120, +27 60 980 7496, +27 86 559 2441",ELDERLY,europages,NEW,,C,sales,,
Instrument & Equipment Specialties GmbH,,"info.cn@ineq-global.com, info.de@ineq-global.com, info@ineq-global.com",https://www.ineq-global.com/,,"+1-302-268-6176, +49-6196 58655 863, +49-69 8991 4658",ELDERLY,europages,NEW,,C,sales,,
SCHNÜRLE industries gmbh,,info@schnuerle.de,https://schnuerle.de,Germany,"+49 203 305 13 0, +49 203 305 13 30, 0 20 33 05 - 13 17",ELDERLY,europages,NEW,,C,sales,,
AMPRO Medientechnik GmbH,,info@ampro-medien.de,http://www.ampro-medien.de/,Germany,"06198 - 57 09 90, 06198 - 57 09 92 0, 073607354",ELDERLY,europages,NEW,,C,sales,,
SQR Labyrinth GmbH,,info@sqr-labyrinth.com,https://www.sqr-labyrinth.de/,Germany,"01736961373, 057-1402-483, 15-1443-43",ELDERLY,europages,NEW,,C,sales,,
alpha service management GmbH,,office@alphaservice.at,http://www.alphaservice.at/,Austria,"+43 1 810 10 97, +43 1 810 10 97 - 0, +43 1 810 10 97 - 999",ELDERLY,europages,NEW,,C,sales,,
KIMESSA GmbH,,"info@kimessa.com, info@kimessa.de, info@webzonepro.ch",https://kimessa.com/germany/,,"+41 (0)44 404 38 38, +41 (0)44 404 38 39, +41 44 404 38 38",ELDERLY,europages,NEW,,C,sales,,
Fire Risk Engineering Inh. Martin Engelskirchen,,info@fire-risk-engineering.de,https://www.fire-risk-engineering.de/,Germany,"+49 2131 3837601, +49 2131 4742496, +4921314742496",ELDERLY,europages,NEW,,C,sales,,
OSAKA SOLUTIONS S.L.,,"info@osakasolutions.es, juanperez@ejemplo.com, web@osakasolutions.com",https://osakasolutions.com,,"+34) 934 351 495, 053091465084, 10299-60741",ELDERLY,europages,NEW,,C,sales,,
autosecure GmbH,,info@autosecure.net,https://www.autosecure.net/,,"+492512373370, 0 0 448 512, 0 0 512 512",ELDERLY,europages,NEW,,C,sales,,
FORS FRANCE,,"contact.commercial@fors.fr, contact@fors.fr",http://www.fors.fr,France,"+33 01 41 77 62 00, +33 01 41 77 62 40, +330141776200",ELDERLY,europages,NEW,,C,sales,,
Norbert Rüsch GmbH,,"example@gmail.com, info@ruesch-berlin.de",http://www.ruesch-berlin.de/,Germany,"+49 30 754 89 440, 0 0 16.6666666667, 0 0 20.8333333333",ELDERLY,europages,NEW,,C,sales,,
Beutler Maschinenbau-und Vertriebsgesellschaft mbH,,"beutler.gaswarn@t-online.de, office@bico.at",http://www.beutler-gaswarn.de/,Germany,"0 0 1000 100, 0031- (0)168- 46 472 7, 0031- (0)168- 49 494 4",ELDERLY,europages,NEW,,C,sales,,
IBEDA Sicherheitsgeräte und Gastechnik GmbH & Co.KG,,"2683.306-11gerd.weissenfels@ibeda.de, info@ibeda.com, info@ibeda.de",http://www.ibeda.com/,,"+49 (0) 2683.306-11, +49 (0) 2683.306-17, +49 (0) 2683.306-18",ELDERLY,europages,NEW,,C,sales,,
Kytola Instruments Oy,,"accounting@kytola.ca, alexander.schett@bachofen.ch, anton.sirvonen@kytola.com, antony@alpineinstruments.co.za, anuchit@u-thong.com, attila.kurti@equtechnik.com, borre@elba.no, bruno.duchesne@vannesebro.fr, comercial@rivi.net, contacto@bacemex.mx, contato@fpi-industrial.com, david.tirado@rivi.net, dcbaek@b2solution.co.kr, deka@deka.gr, dep.comercial@svrpsolucoes.pt, dhruv@konfluid.in, ebarrios@bacemex.mx, elba@elba.no, eric.much@kytola.com, florite@florite.com.au, flow@kytola.ca, geral@svrpsolucoes.pt, i.tabak@sistempnomatik.com.tr, info.de@kytola.com, info.se@kytola.com, info@aea-technique.pl, info@alaxa.nl, info@appeng.co.uk, info@bachofen.ch, info@comhas.com, info@equtechnik.com, info@sistempnomatik.com.tr, info@smk.co.at, instrument.hokksund@mrcglobal.com, jani.bagge@kytola.com, jari.auvinen@kytola.com, jarle.hedenstad@mrcglobal.com, jgoddard@appeng.co.uk, jveleba@dex.cz, kytola@kytola.com, lasse.olsen@insatech.com, matteo@comhas.com, mjanosko@dex.sk, mread@appeng.co.uk, ms@smk.co.at, muhyiddin.af@am-globalindo.com, nam@natachi.net, nfo@cleveland.co.nz, o.yilmaz@sistempnomatik.com.tr, pedwards@scandimex.cl, petri.laiho@kytola.com, pierluigi@comhas.com, riccardo@comhas.com, rodrigorozas@scandimex.cl, sales@alpineinstruments.co.za, sales@am-globalindo.com, sales@konfluid.in, sales@u-thong.com, susanna.pesonen@kytola.com, t_watabe@flow-jfc.com, timo.kytola@kytola.com, torbjorn.pettersson@kytola.com, watabe@flow-jfc.com, zhao.lei@kytola.com",https://kytola.com/,,"+1 514 448 5151, +1 514 691 9945, +1 678 701 3569",ELDERLY,europages,NEW,,C,sales,,
"Sistemas de Control CV, SL",,sico@sicocv.es,https://www.sico.global,,"0 .3 0 .5-.3.6-.1.2-.4.3-.7.4, 0 .4-.2.7-.4 1-.1.3-.4.5-.7.7, 0 0 400 400",ELDERLY,europages,NEW,,C,sales,,
DENIOS SE,,info@denios.de,http://www.denios.de/,Germany,"+49 5731 753-0, +49 5731 753-197, +49-800-7530002",ELDERLY,europages,NEW,,C,sales,,
STALE PROCESSING,,"l.becanne@stale.fr, s.nazaret@stale.fr",http://www.stale.fr,France,"+33(0)3 83 26 38 26, +33(0)3 83 26 58 10, +33(0)4 78 19 39 25",ELDERLY,europages,NEW,,C,sales,,
IJINUS,,"alberto.chioetto@ijinus.fr, caroline.jullian@claire-connect.com, christophe.reynaud@claire-connect.com, dominique.mahe@claire-connect.com, franck.menesplier@claire-connect.com, franck.menesplier@claire.-connect.com, info@ijinus.fr, julien.turcato@claire-connect.com, laurent.jacquin@claire-connect.com, laurent.meyer@claire-connect.com, logistique-ijinus@ijinus.fr, olivier.leborgne@claire-connect.com, romain.bonnin@claire-connect.com, sav@ijinus.fr, vincent.oger@claire-connect.com, zuzana.gromadova@claire-connect.com",https://www.ijinus.com,,"+33 04 72 53 11 53, +33 06 16 64 17 35, +33 06 47 91 59 39",ELDERLY,europages,NEW,,C,sales,,
Give and Take (Wholesale) Limited,,giveandtake2@aol.com,https://www.giveandtakeuk.com/,,"+0203 759 1702, +44 0203 759 1702, 02037591702",ELDERLY,europages,NEW,,C,sales,,
Expert Domo Sécurité,,contact@expert-domo-securite.com,https://expert-domo-securite.com,,"+33970705700, 0 0 1000 1000, 0 0 448 512",ELDERLY,europages,NEW,,C,sales,,
IPR GMBH,,team@ipr-werkzeuge.de,http://www.ipr-werkzeuge.de,Germany,"+49 9568 896900, 0 0 1536 1896.0833, 0 0 1664 1896.0833",ELDERLY,europages,NEW,,C,sales,,
Durstmüller GmbH,,office@dula.at,http://www.dula.at/,Austria,"+43 7245 28250, +43 7245 28250-50, +43724528250",ELDERLY,europages,NEW,,C,sales,,
IDENTA AUSWEISSYSTEME GMBH,,"hallo@identa.com, info@identa.com",http://www.identa.com/home/,,"+49 (0) 7720 3909-0, +49 (0) 7720 3909-44, +49 (0)7720 3909-0",ELDERLY,europages,NEW,,C,sales,,
ZARCA S.L.,,comercial@zarca.es,https://www.zarca.es/,Spain,"+34) 931 175 501, +34) 933 795 033, +34931175501",ELDERLY,europages,NEW,,C,sales,,
Mobile Standing Aid Raizer,,"info@ammann-rottkord.de, kontakt@ammann-rottkord.de",https://www.ammann-rottkord.de/service/lexikon/,Germany,"+49 2504 88502, +49 2504 88505, +4925048850",ELDERLY,wlw,NEW,,C,sales,,
Honeywell Classic Door Reading Module,,mail@engelen-similars.com,https://engelen-similars.com/leistung/rfid-medien/,,"+49) 0331 60121610, +49) 0331 60121611, +49) 0331 6012610",ELDERLY,wlw,NEW,,C,sales,,
INTUS Access Reader,,"celsner@pcs.com, intus@pcs.com, kontakt@pcs.com",https://www.pcs.com/produkte/zutrittskontrolle/rfid-zutrittsleser/,,"+49 89 68004 - 0, +49 89 68004 - 410, +49 89 68004 - 666",ELDERLY,wlw,NEW,,C,sales,,
E-Commerce,,"dialog@zenger-gmbh.de, info@zenger-gmbh.de",https://www.zenger-gmbh.de/leistungen/e-commerce/,Germany,"+49 2237 6903 0, +49 2237 6903 300, 0-1.549-0.694-1.549-1.548",ELDERLY,wlw,NEW,,C,sales,,
Hazardous Material Safety Cabinets,,office@uwt.cc,http://www.uwt.cc/,,"+43 7242 65685-0, +43 7242 65685-13, +43724265685",ELDERLY,wlw,NEW,,C,sales,,
Trenastic Dichtungstechnik GmbH,,info@trenastic.de,http://www.trenastic.de/,Germany,"0208 65922, 0208 65922-0, 0208 65922-21",ELDERLY,europages,NEW,,C,sales,,
Hansa-Holz-Kontor Horst Rückle GmbH & Co KG,,"datenschutzbeauftragte@hansa-holz-kontor.de, info@hansa-holz-kontor.de",https://www.hansa-holz-kontor.de/,Germany,"+49 (0)4161 7445, +49 (0)4161 7445 - 0, +49-4161-7445-0",ELDERLY,europages,NEW,,C,sales,,
MH HEALTH CARE,,su@email.com,https://mhhealthcare.es/,Spain,"080805010, 100063684244752, 1408030112054",ELDERLY,europages,NEW,,C,sales,,
LINGUAVOX SL,,info@linguavox.net,https://www.linguavox.net/,,"+1 3474933907, +34 637822394, +44 20 3808 7685",ELDERLY,europages,NEW,,C,sales,,
Vereinsbedarf Deitert GmbH,,main@1.0.0,https://www.vereinsbedarf-deitert.de/,Germany,"+49 2583 30032 0, +492583300320, 0 -1 -1 0 16 16",ELDERLY,europages,NEW,,C,sales,,
SIRRIS,,"accounting@sirris.be, communication@sirris.be, info@sirris.be, innovation@sirris.be, members@sirris.be",http://sirris.be/,Belgium,"+32 473 88 53 15, +32 491 61 95 21, +32 498 91 93 41",ELDERLY,europages,NEW,,C,sales,,
HSFB Gebäudetechnik GmbH,,"bremsteller@hsfb-gebaeudetechnik.de, feka@hsfb-gebaeudetechnik.de, info@hsfb-gebaeudetechnik.de",https://hsfb-gebaeudetechnik.de/,Germany,"128396981, 1515808351, 1730813479",ELDERLY,europages,NEW,,C,sales,,
A-Z Arbeitsschutz GmbH,,info@az-arbeitsschutz.de,https://www.az-arbeitsschutz.de/,Germany,"+49 (0) 174 5809501, +491745809501, +491764188759",ELDERLY,europages,NEW,,C,sales,,
S.E.I. SRL SERVIZIO ELETTRONICA INDUSTRIALE,,sei@seisrl.it,http://www.seisrl.it,Italy,"+39 0341 680631, +390341680631, 0 0 1200 120",ELDERLY,europages,NEW,,C,sales,,
DARIUSZ ŁOPATA,,"biuro@lopato.pl, dariusz.lopata@lopato.pl, faktury@lopato.pl, jan.lopata@lopato.pl, tadeusz.lopata@lopato.pl, zamowienia@lopato.pl",https://lopato.pl,Poland,"+48 536 967 594, +48 537 563 805, +48 607 984 530",ELDERLY,europages,NEW,,C,sales,,
TEKNOMAR,,"ozerts@gmail.com, sales@teknomar.com.tr",https://teknomar.com.tr,,"+903123850040, 0123456789, 050341003",ELDERLY,europages,NEW,,C,sales,,
Garage Transporter Type 142/6,,info@maschinenbau-deuringer.de,http://www.maschinenbau-deuringer.de/garagentransporter/,Germany,"+0152-0153, +0490-0491, +49 (0)8231 6687",ELDERLY,wlw,NEW,,C,sales,,
Food for Clinics,,office@apetito.eu,https://www.apetito.co.at/kliniken,Austria,"0 0 16.907 19.813, 0 0 16.956 16.23, 0 0 19.5 20.5",ELDERLY,wlw,NEW,,C,sales,,
Individually printed hand sanitizing wipes – hygienic protection & strong brand presence in one product,,info@kuyo.de,https://kuyo.de/produkte/reinigungstuecher/,Germany,"+49 (0)3342 502 84 20, 0 0 200 200, 0.4-0.4-1-0.4-1.4",ELDERLY,wlw,NEW,,C,sales,,
NARTLIFT DISABLED PERSON AND ELDERLY ELEVATORS INC.,,"aslihan.alptekin@nartaccess.com, ceren.haydaroglu@nartaccess.com, info@nartaccess.com, muhasebe@nartaccess.com, taner.hacilar@nartaccess.com",https://www.nartaccess.com/,,"+1 (555) 000-0000, +90 532 549 31 45, +905323622068",ELDERLY,europages,NEW,,C,sales,,
MEDOFFICE HEALTH INDUSTRY INC,,info@medoffice.com.tr,http://www.medoffice.com.tr,,"+90 232 270 22 30, +90-232-431-31-12, 0 1.71.87 3.213 2.188 4.096",ELDERLY,europages,NEW,,C,sales,,
IDS - INDESA,,ids@ids-indesa.com,https://www.ids-indesa.com,,"+351) 243 247 751, +351243247751, 1631894256970",ELDERLY,europages,NEW,,C,sales,,
DEVAS HOMELIFT,,"export@devas.com.tr, info@devas.com.tr, marmara@devas.com.tr, satis@devas.com.tr",https://www.devas.com.tr,,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,europages,NEW,,C,sales,,
WaterNova S.R.L.,,"info@waternova.it, postmaster@waternova.it, waternova@pec.it",https://www.waternova.it/,Italy,"+39 3284870922, +39-3284870922, 0 0 1024 1024",ELDERLY,europages,NEW,,C,sales,,
SC IZOTEC GROUP SRL,,"export@izotec.ro, office@izotec.ro, vanzari@izotec.ro",http://www.izotec.ro,,"+40 233 220 177, +40 233 221 702, +40 233 281 122",ELDERLY,europages,NEW,,C,sales,,
NOVA MOBILA - EINE MARKE DER V&V ONLINE GMBH,,info@nova-mobila.de,https://nova-mobila.de/,Germany,"+49 (0) 621 - 300 -130 - 20, 0 .069 0 .346.175.81, 0 .07 0 .14.14.14",ELDERLY,europages,NEW,,C,sales,,
Eldora,,peter@eldora.be,https://www.eldora.be/,Belgium,"+32 488 899 369, +32488899369, 10.1649 12.7154",ELDERLY,europages,NEW,,C,sales,,
POLYMORIT,,sales@polymorit.com,http://www.polymorit.com,,"0-.622.246-1.218.683-1.658, 0.0033 0.81, 0.0093 1.37",ELDERLY,europages,NEW,,C,sales,,
"Fire Protection Assistant Training – Practical Training according to ArbSchG, ASR & DGUV in Augsburg or on-site at your ",,mail@erste-hilfe-schwaben.de,https://www.erste-hilfe-schwaben.de/brandschutzhelfer/,Germany,"+49 8292 901148, 08292 901148, 08292 901149",ELDERLY,wlw,NEW,,C,sales,,
DGUV-compliant first aid courses for businesses,,info@rennecke-medic.de,https://www.rennecke-medic.de/erste-hilfe-kurse/erste-hilfe-kurs-fuer-betriebliche-ersthelfer/,Germany,"+49 157 3933 2727, +49 157 39332727, +49 2851 5898410",ELDERLY,wlw,NEW,,C,sales,,
"MSA V-TEC Mini PFL twin-leg, two-arm height safety device available with various carabiners",,"hhuizinga@eurosafe.eu, kontakt@eurosafe.eu, nord@eurosafe.eu, nord@eurosafesolutions.com, sued@eurosafe.eu, sued@eurosafesolutions.com, u003enord@eurosafe.eu, u003esued@eurosafe.eu",https://www.eurosafe.eu/de/produkte/msa-v-tec-mini-pfl-zwei-schenkel,,"+310382004822, +49 (0) 261 988297-0, +49 (0) 2843 95814-0",ELDERLY,wlw,NEW,,C,sales,,
IHF-JUNGENTHAL Handhabungstechnik GmbH,,"a.seemann@ihf-jungenthal.de, c.reifenrath@ihf-jungenthal.de, d.schneider@ihf-jungenthal.de, info@ihf-jungenthal.de, k.seemann@ihf-jungenthal.de, s.schoen@ihf-jungenthal.de, vertrieb@ihf-jungenthal.de, w.stratmann@ihf-jungenthal.de, y.boehmer@ihf-jungenthal.de",http://www.ihf-jungenthal.de/,Germany,"+49274195910, +492741959110, +492741959111",ELDERLY,europages,NEW,,C,sales,,
TecnoPharma Italia Srl,,"info@tecnopharma.eu, info@tecnopharma.net",https://www.tecnopharma.eu,,"+39 348 3803247, 01549780995, 1739979310885",ELDERLY,europages,NEW,,C,sales,,
invenio AG,,contact@invenio.net,http://www.invenio.net/,,"+49 (6142) 899-0, +49 (6142) 899-219, 0 0 100 100",ELDERLY,europages,NEW,,C,sales,,
disynet GmbH,,info@disynet.de,http://www.sensoren.de/,Germany,"+49 (2157) 8799-0, +49 (2157) 8799-22, +49 2157 8799 0",ELDERLY,europages,NEW,,C,sales,,
KSA Toolsystems GmbH,,"info@ksa-toolsystems.com, info@ksa-toolsystems.de",https://www.ksatoolsystems.de/,Germany,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,europages,NEW,,C,sales,,
RP-Engineering GmbH,,"info@rp-engineering.de, kiwi@rp-engineering.de, max@rp-engineering.de, stefan@rp-engineering.de, tanja@rp-engineering.de",http://www.rp-engineering.de/,Germany,"+4971135133874, +4971135133875, +4971135133876",ELDERLY,europages,NEW,,C,sales,,
PÖTTER-KLIMA Gesellschaft für Lüftungs- und Klimatechnik mbH,,"e-invoice.app@poetter-klima.de, e-invoice.klima@poetter-klima.de, e-invoice.nano@poetter-klima.de, info@poetter-klima.de, invoice@poetter-klima.de, marketing@poetter-klima.de",https://www.poetter-klima.de/,Germany,"+491638606044, +49540186060, 0 0 200 200",ELDERLY,europages,NEW,,C,sales,,
Pötter GmbH,,info@poetter-gmbh.com,http://www.poetter-gmbh.com/,,"+49 (0) 2338 37 99 51, +491719759005, 0 1.66 1.34 3 3 3",ELDERLY,europages,NEW,,C,sales,,
"Electromechanical assembly with functional testing for mechanical engineering, railway industry, and equipment manufactu",,"datenschutz@his-solar.com, info@hik-solutions.com, sales@hik-solutions.com",https://hik-solutions.com/leistungen-produkte/hikflex/elektromechanische-baugruppen,,"+38 737307 650, +38737307650, +49 123 4567 89",ELDERLY,wlw,NEW,,C,sales,,
"Electrical, drive, and automation technology for new systems and retrofit projects with in-house manufacturing",,info@blindhammer.com,https://www.blindhammer.com/,,"+49 8042 9672961, 080429672961, 11.559464115988582",ELDERLY,wlw,NEW,,C,sales,,
Speed Starter,,"info@automation24.at, info@automation24.de",https://www.automation24.de/drehzahlstarter,Germany,"+43 720 88 18 76, +49 201 5231300, 04.06.2025",ELDERLY,wlw,NEW,,C,sales,,
HK7 LED-NIR Spectrophotometer,,info@harrerkassen.com,https://www.harrerkassen.com/de/produkte/hk7.html,,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,wlw,NEW,,C,sales,,
Device Container,,"a.bartels@hacobau.de, beispiel@beispiel.de, g.menke@hacobau.de, info@hacobau.de, j.eberhardt@hacobau.de, mail@cybox.net",https://www.hacobau.de/produkte/schnellbaucontainer/index.htm,Germany,"+49 5151 809876, +49(0)5151-809876, +495151809876",ELDERLY,wlw,NEW,,C,sales,,
"Electronics development, innovative electronics solutions, from circuit design, PCB layout to prototype manufacturing.",,info@samd-solutions.de,https://samd-solutions.de/engineering/,Germany,"0 -960 960 960, 0 0 128 128, 0 0 2717 827",ELDERLY,wlw,NEW,,C,sales,,
Drive technology for agricultural automation – Motors & actuators for feeding & cleaning,,"info@waldantriebe.de, technik@waldantriebe.de",https://www.waldantriebe.de/,Germany,"+49 (0) 5161 48632 0, +49 (0) 5161 48632 33, 0.33333333333333",ELDERLY,wlw,NEW,,C,sales,,
Installation Tester Black Box Action CombiG2,,ig@j.h,https://ht-instruments.de/wp-content/uploads/2016/06/BlackBox2019.pdf,Germany,"0.0 0.0 1.0 0.0, 0.0 0.0 1153.7 822.047, 0.0 0.0 1162.2 822.047",ELDERLY,wlw,NEW,,C,sales,,
Emergency Sourcing for hard-to-find electronic and electrical components with global sourcing.,,info@multitech-trading.com,https://multitech-trading.com/,,"+49 (0) 162 7213265, +49-162-7213265, +491627213265",ELDERLY,wlw,NEW,,C,sales,,
Neoprene Timing Belt Products,,"17bis@2x.470f46dd.avif, 203@2x.baf812d9.avif, bild-3.3_s3@2x.4aea59c7.avif, foodflex@2x.e91e033f.avif, foto-7@2x.65be3795.avif, hauptbild@2x.2ef1364c.avif, igat-logo-1@2x.fd41285c.avif, igat-logo-invert-1@2x.d21aec19.avif, igat-polyurethan-schwerlast-heberriemen@2x.f8bf637b.avif, image005@2x.dbd9cc7b.avif, image006@2x.4e17f8e8.avif, info@igat.net, kabelabzug1_iso@2x.105c77dc.avif, messgeraet_uebersicht_igat@2x.ccc14626.avif, q@c.ks, sigils@2x.9a391b53.avif",https://www.igat.net/produkte/ZAHNRIEMEN,,"+49 (0) 211 4962402, +49 211 4962402, 0 0 1440 1066",ELDERLY,wlw,NEW,,C,sales,,
"Grinding Contract Manufacturing – Deburring, Polishing & Surface Treatment of Metal Parts",,"b.gosch@althaus-rohrschellen.de, busch@althaus-rohrschellen.de, frerichs@althaus-rohrschellen.de, gosch@althaus-rohrschellen.de, info@althaus-rohrschellen.de, klueter@althaus-rohrschellen.de",https://althaus-rohrschellen.de/trowalisieren-gleitschleifen/,Germany,"+0152-0153, +49 23 72 - 18 61, +49 23 72 - 18 64 00",ELDERLY,wlw,NEW,,C,sales,,
Through Module,,"info@tsquadrat.com, info@w-commerce.de",https://www.tsquadrat.com/quickmenue/foerdertechnik/durchgangsmodul/,,"+49 7203 90939-0, +49 7203 909390, +49 781 60 57 21 6",ELDERLY,wlw,NEW,,C,sales,,
"Balancing Technology - Measurement and Control Technology, Measurement and Evaluation Software",,info@joppnet.de,https://www.tira-gmbh.de/auswuchttechnik/steuerung-software/,Germany,"+49 (0)36766, 1434011259562, 1555511592",ELDERLY,wlw,NEW,,C,sales,,
"CNC Machined Copper Parts: Excellent Conductivity, Precise Manufacturing",,info@link-tepel.de,https://www.link-tepel.de/cnc-bearbeitung,Germany,"+492 34891700, 065992337609, 1780137145",ELDERLY,wlw,NEW,,C,sales,,
Energy and High Voltage Technology,,info@ce-lab.de,https://ce-lab.de//leistungen/energietechnik,Germany,"0.1592595205, 10.853676795959474, 10.887751579284668",ELDERLY,wlw,NEW,,C,sales,,
collaborative.cloud e.U. Inh. Andreas Gross,,"collaborativemeet@collaborative.cloud, office@collaborative.cloud",https://www.collaborative.cloud,,"+43 (1) 361 88 77 0, +43 (1) 361 88 77 99, +43 1 361 88 77 0",ELDERLY,europages,NEW,,C,sales,,
Sunny Factory SIA,,info@saulesfabrika.lv,https://saulesfabrika.lv/,,"+371 2704 8888, +371 6713 2147, +371-2704-8888",ELDERLY,europages,NEW,,C,sales,,
MEDICORUM SRL,,info@medicorumsrl.it,https://www.medicorumsrl.it,Italy,"+39 3517231458, +393517231458, 0 .069 0 .346.175.81",ELDERLY,europages,NEW,,C,sales,,
mediparts GmbH,,"angebotsanfrage@meddax24.de, einkauf@meddax24.de, info@meddax24.de, webshop@meddax24.de",https://www.meddax24.de,Germany,"0 .1 0 .1.1.2 0-.1.1-.1.1-.1, 0 0 461.99 112.04, 0 1.7 1.4 3 3 3",ELDERLY,europages,NEW,,C,sales,,
BIBER Solarkonzept GmbH,,info@biber-solarkonzept.de,https://www.biber-solarkonzept.de,Germany,"0163 271 21 84, 0163 2712184, 01632712184",ELDERLY,europages,NEW,,C,sales,,
Magisterfood Robert Scheffert GmbH,,"info@magisterfood.de, magisterfood@edv-fix.de",https://magisterfood.de/,Germany,"+49 7641 48382, +49764148382, 105.33333333333339",ELDERLY,europages,NEW,,C,sales,,
CARELINE GMBH & CO. KG,,info@careline.de,https://careline.de/en/,Germany,"+49 2133 2223 0, +49 2133 22230, 1752653891",ELDERLY,europages,NEW,,C,sales,,
Office Möbel - Köse & Altundas GbR,,info@office-moebel.com,https://office-moebel.com,,"+49 176 7961 61 61, +49 177 306 91 62, 0 .069 0 .346.175.81",ELDERLY,europages,NEW,,C,sales,,
U.T.E. ELECTRONIC GMBH & CO. KG,,info@ute.de,http://www.ute.de,Germany,"+49 (0) 2302 28 28 3 - 0, +49 (0) 2302 28 28 3 - 10, +49 (0)2302 28 28 3-0",ELDERLY,europages,NEW,,C,sales,,
Hopf Vertriebsgesellschaft,,info@hopf-online.de,http://www.hopf-online.de/,Germany,"+49 6196 493-0, 0 0 401.67 136.42, 0 0 926 1131",ELDERLY,europages,NEW,,C,sales,,
PROFYTE MEDICAL,,info@profytemedical.nl,https://www.profytemedical.nl,Netherlands,"+31 (0)85 40 11 619, +31(0)85 4011619, +31854011619",ELDERLY,europages,NEW,,C,sales,,
NORCON Trade,,info@norcon-trade.de,http://www.norcon-trade.de/,Germany,"+0152-0153, 0.00 0.00 100 100, 010101375355",ELDERLY,europages,NEW,,C,sales,,
DEZ,,info@expertboetius.de,https://www.expert.de/,Germany,"0 0 1200 120, 0 0 320 512, 0 0 384 512",ELDERLY,europages,NEW,,C,sales,,
